,index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그
10,5811,밑반찬,일상,달걀/유제품,볶음,백종원 부추달걀볶음 초간단레시피,https://www.10000recipe.com/recipe/6871533,"24,714",아빠악어                                ,2,5분 이내,아무나,"['달걀', '부추', '굴소스', '참기름']",간단하지만 메인반찬으로도 좋은 달걀요리입니다.,"['먼저 기름을 달궈 계란물을 넣어줍니다.', '기름에 계란이 익어가면 스크램블해주세요.', '그리고 손질해 놓은 부추를 넣어줍니다.', '굴소스를 넣어 간을 맞춰주고 한반 휘리릭 볶아주세요.', '마지막은 참기름으로 ~']","['백종원부추달걀볶음', '백종원부추요리', '부추요리', '달걀볶음', '저녁반찬', '간단레시피', '댤걀요리', '계란요리']"
11,5812,밑반찬,일상,달걀/유제품,볶음,초간단 양배추 스크램블,https://www.10000recipe.com/recipe/6920771,"7,345",Whalelike                                ,1,15분 이내,초급,"['계란', '양배추', '후추', '소금']",양배추와 계란만으로 만드는 초간단 스크램블입니다!,"['팬에 기름을 두르고', '계란물을 풀어서 부은 후 스크램블을 만듭니다. 약 70%정도 익은 것 같으면 가장자리로 몰아주고', '양배추를 넣고 볶아줍니다.', '후추와 소금을 살짝씩 뿌려서 간을 맞추고', '계란과 양배추를 함께 섞어줍니다.', '접시애 옮겨담으면 완성!\n완전 간단한데 건강식이면서 맛도 있어요']","['양배추', '스크램블']"
12,5813,밑반찬,일상,달걀/유제품,볶음,"소세지 메추리알 케첩볶음 , 쉽고 간단한 반찬 만들기 :)",https://www.10000recipe.com/recipe/6841438,"24,082",달콤한꿀호떡                                ,3,15분 이내,아무나,"['메추리알', '비엔나', '대파', '마늘', '청양고추(생략가능)', '치즈가루(생략가능)', '케첩', '굴소스', '돈까스소스', '올리브오일']","메추리알과 비엔나 소세지로 만든 소세지 메추리알 케첩볶음
재료 준비해 양념 넣고 후루룩 볶아내면 완성되는 간단한 레시피로
아이들 반찬이나 도시락 반찬으로 활용하기 좋은 메뉴 :)","['메추리알은 삶아 껍질을 깨끗히 까서 준비한다.', '소세지는 칼집을 넣어 준비 -', '비율은 원하는대로 하고 두가지 합쳐 국그릇으로 1대접 가득 찰 정도의 양으로 !', '대파는 메추리알과 비슷한 크기로 썰고', '마늘은 편으로 썰어둔다.', '팬에 올리브오일을 두르고 썰어둔 마늘을 달달 볶아 향을 낸다.', '마늘이 노릇해지기 시작하면 소세지 , 메추리알 , 대파를 넣어 볶는다.', '메추리알과 대파가 노릇해질때까지 볶는다.', '케첩 4스푼 , 굴소스 1/3스푼 , 돈까스소스 1스푼을 넣고 \n매콤함을 더하고 싶다면 마지막에 청양고추나 건고추를 더해 볶아준다.', '양념이 메추리알에 촥 ! 달라붙을때까지만 볶아주면 완성 !\n취향에 따라 치즈가루나 깨를 뿌려도 좋다.']","['메추리알', '비엔나소세지', '케첩', '메추리알케첩볶음', '소세지볶음', '도시락반찬', '초간단']"
13,5814,밑반찬,일상,달걀/유제품,볶음,양파계란볶음...,https://www.10000recipe.com/recipe/6963845,"4,510",행복한미야미니맘                                ,2,10분 이내,초급,"['양파', '계란', '청양고추', '소금', '굴소스', '후추', '깨', '참기름']",양파와 계란만 있으면 맛있는 반찬이 뚝딱! 만들어집니다.,"['양파는', '먹기좋은 크기로 잘라요.', '청양고추는 아슷 썰어요.', '계란 3개를', '잘 풀어요.', '달궈진 팬에 기름을 두르고', '계랑물을 부어요.', '중불에서 가장자리가 익으면', '주걱으로 저어가며 익혀요.', '뭉친건 대충 주걱으로 잘라요.', '접시에 계란을 담고', '기름을 두르고 양파를 넣어', '볶아요.', '양파가 투명해지면', '계란.청양고추를 넣고', '소금1t', '후추 톡톡', '굴소스1T', '깨1T', '참기름 1T를 넣고', '볶아요.']",['양파계란볶음']
14,5815,밑반찬,일상,달걀/유제품,볶음,밥 한그릇 비벼먹는 간단한 계란볶음장,https://www.10000recipe.com/recipe/6921666,"9,946",-Travel HEY                                ,4,15분 이내,아무나,"['삶은계란', '양파', '대파흰부분', '청양고추', '올리브유', '매실청', '올리고당', '굴소스', '멸치액젓', '고춧가루', '물']",매콤한 장조림이 먹고 싶을 때 딱인 볶음계란장,"['양념을 먼저 준비해주세요.', '야채를 잘게 잘라 준비해주세요.', '삶은계란을 포크로 콕콕콕 여러군데 찔러서 준비해주세요.', '펜을 예열한뒤에, \n올리브유를 두르고\n중약불로 파기름을 내주신뒤(30초정도) 계란을 넣어 볶아주세요.', '양파도 넣어 30초 같이볶아주세요.\n-중약불', '그다음 청양고추와 양념소스를 넣고 섞어주세요.\n-약불로 2분~3분간 뚜껑을 덮고 조려주세요.', '매콤한 볶음계란장 완성입니다.']","['간단한반찬', '한그릇음식', '볶음계란장', '매콤한계란장', '밥도둑', '반찬', '발리삼발소스응용']"
15,5816,밑반찬,일상,달걀/유제품,볶음,토마토계란볶음 만들기,https://www.10000recipe.com/recipe/6957368,"8,758",naltaengi                                ,1,15분 이내,아무나,"['토마토', '계란', '소금', '대파', '굴소스', '진간장', '식용류', '파슬리']",대저짭짤이토마토를 선물받았는데 생으로 먹는데 한계가 있어서 토마토계란볶음 을 만들어봤습니다..,"['대파는 송송썰고\n토마토는 16등분(8등분후 반씩 잘라)으로 깍뚜기 스탈로 잘라주고\n계란에 소금 1/3티스푼으로 밑간을 해줍니다.', '밑간을 한 계란은 잘 풀어줍니다.', '팬에 식용류 2스푼정도를 두르고 중불에 달궈줍니다.', '팬이 달궈지면 풀어놓은 계란을 넣고 휘저어가면 스크램블에그를 만들어줍니다.계란이 뭉치면 볶음 주걱으로 엄지손가락 한마디정도 만하게 잘라주심됩니다.', '팬에 식용류 3스푼을 넣고 대파를 넣어 줍니다.', '파가 갈색이 될때까지 볶아 파기름을 내줍니다.중불', '파기름이 되면 토마토를 넣어줍니다.중불', '토마토를 한쪽에 밀고\n진간장과 굴소스를 넣고 잘 섞어줍니다.중불진간장을 넣으면 부글부글 끓으면서 쫄아버리는데 겁내지 마시고 토마토를 이리저리 휘저어주심 타지 않습니다.', '양념을 넣으면 센불에서 토마토에서 나오는 물을 졸아들도록 볶다가 스크램블한 계란을 넣고 잘 섞어주면 끝입니다.\n그릇에 담고 파슬리를 위에 살짝 뿌리면 완성입니다.센불']","['토마토계란볶음', '토마토요리', '건강식', '쉬운요리', '간단한요리', '간식', '초보요리']"
16,5817,밑반찬,일상,달걀/유제품,볶음,새우달걀볶음 간단한달걀요리 ,https://www.10000recipe.com/recipe/4645165,"41,631",수카                                ,2,10분 이내,아무나,"['달걀', '칵테일새우', '쪽파', '소금', '후추', '버터']",밥을 차려야하는데 반찬이 없을 때 아주 간단하면서도 빨리 하고 맛도 좋고 영양도 많은 요리하나 소개해드릴게요,"['재료를 준비합니다. 전 칵테일새우는 냉동실에 늘 준비해두는 거라 칵테일새우로 했어요. 일반새우로 하셔도 됩니다. 파는 쪽파가 없으면 대파 작은걸로 준비해주세요.', '달걀은 풀어서 소금약간,후추를 뿌려둡니다.', '달군 팬에 버터1큰술을 넣고', '중불에서 새우를 넣고 살짝 볶다가', '달걀을 넣고 볶아주세요.', '달걀이 반숙상태가 될 때 파를 넣고 소금한꼬집,후추를 넣고 볶아주어요.', '마지막으로 간장 2작은술을 둘러 볶아 마무리합니다.']",
17,5818,밑반찬,일상,달걀/유제품,볶음,부추계란볶음 5분도 안걸리는 달걀볶음,https://www.10000recipe.com/recipe/6934326,"2,740",먹순                                ,2,5분 이내,아무나,"['부추', '달걀', '굴소스', '참기름']","남은 부추와 계란을 휘리릭 볶아 중화풍으로 만들어보아요,","['먼저 달걀은 두개정도를 준비했어요.\n1인분당 1개정도로 넉넉히 드실 분들은 1인분당 2개로 잡아주셔도 좋아요.\n달걀은 볼에 깨준 후 포크를 이용해 노른자를 터뜨려 잘 섞어주세요.', '소금간은 해주어도 좋고 하지 않아도 좋아요.\n한 꼬집정도 솔솔 뿌려 잘 섞어주세요.', '부추는 한줌정도를 준비해주었고 종이컵 한컵이 덜 되는 정도의 분량이랍니다.\n길이는 약 2cm 정도로 썰어 준비해주면 딱 먹기 좋아요.\n길게 썰어도 좋고 취향껏 준비해주면 좋습니다.', '이제 휙 볶아주기만 하면 끝인 정말 간단한 부추계란볶음 인데요.\n여기서 포인트는 기름을 두세큰술 정도 넉넉히 둘러준 후 팬을 충분히 달구어줘야 해요.\n팬이 달구어지면서 뜨거운 열기가 올라올 때 계란을 부어주고\n치이익 소리가 나도록 해주세요.', '곧바로 나무숟가락을 활용해 Z 자로 휘저으며 스크램블 해주세요.', '여기서 완전히 익히는 것이 아닌, 덩어리가 지기 시작할 때 곧바로 부추를 넣어주세요.\n완전히 익혀버리면 식감이 부드럽지 못하니 꼭 익기 전에 넣어주는게 좋아요.', '간은 굴소스 한큰술을 해주었는데요.\n굴소스가 없다면 간장.설탕.미림 2:1:1 비율정도로 넣어주면 돼요.', '5분도 걸리지 않는 요리라 간도 그때그때 바로 해주는 것이 좋아요.\n참기름은 마무리로 한큰술정도 휙 둘러 고소함을 더해주었답니다.\n빠르게 볶아주는 것이 포인트에요.']","['부추', '부추요리', '부추달걀볶음', '부추계란볶음', '계란볶음', '달걀요리', '계란요리', '간단한반찬', '반찬', '밑반찬']"
18,5819,밑반찬,일상,달걀/유제품,볶음,토마토 달걀볶음 # 수지 토달볶 아침브런치,https://www.10000recipe.com/recipe/6846779,"48,138",숑하우스                                ,2,10분 이내,아무나,"['계란', '토마토', '식용유 또는 올리브유', '소금', '설탕', '파', '통마늘', '우유또는생크림                                                                                    3T(생략 가능)']",토마토 선물 받아서 갈아도 마시고 이것저것 요리 해 먹었어요. 토마토 활용해 보아요.~,"['토마토는 깨끗이 씻고 꽁다리 제거하고 먹기 좋게 적당히 잘라주세요.\n파는 길게 썰고, 마늘은 편 썰어주세요.', '계란 3개를 풀어주세요. 부드럽게 해주기 위해 우유 또는 생크림 조금 넣어줘도 좋아요.', '올리브유에 파, 마늘을 볶아주세요.\n* 토마토의 라이코펜 성분이 올리브오일과 만나면 흡수율이 배가 된다고 해요. 이로써 몸에 해로운 활성산소를 배출해주고 항산화 성분을 다량 섭취해 몸에 좋음 영양소가 되요.', '파 마늘이 어느정도 볶아지면 토마토를 넣고 볶다가 소금으로 간 해주세요.', '토마토를 한쪽으로 밀고 한쪽에 계란 스크램블 만들어주세요. 그냥 계란물에 섞어도 되지만 토마토 물기때문에 직퍽해지더라구요.', '계란에 설탕 간을 해주고 이제 토마토와 살살 섞어주세요.']","['토마토계란볶음', '토마토달걀볶음', '토달볶', '수지토달볶', '시홍쓰차우지딴']"
19,5820,밑반찬,일상,달걀/유제품,볶음,대추방울토마토 간단토마토요리 토달볶음,https://www.10000recipe.com/recipe/6979489,934,좋아좋아3                                ,2,5분 이내,아무나,"['대추방울토마토', '달걀', '소금', '올리브오일']","간단한데

맛있고 영양도 풍부한 토마토요리

단연 토달볶음이쥬~ ㅎ","['대추방울토마토 10개 사용 합니다\n4등분 했어요', '달걀 3개는 잘 풀어\n소금 한 꼬집 넣고 간해 두어요', '팬에 올리브오일 넉넉히 둘러주고\n대추방울토마토를 살짝 볶아 줍니다', '풀어둔 달걀 넣고\n쉐킷쉐킷~~', '5분도 채 안 걸리는 초간단 \n토마토달걀볶음 완성 입니다', '접시에 담고\n후추 굵직하게 쓱쓱 갈아주면\n토달볶음 완성 입니다']","['토마토요리', '토달볶음', '토마토달걀볶음', '간단요리']"
20,5821,밑반찬,일상,달걀/유제품,볶음,"맛있는 토마토 요리, 토마토 달걀 볶음/아기 반찬",https://www.10000recipe.com/recipe/6885975,"27,713",스와티라마                                ,3,30분 이내,초급,"['토마토', '송송 썬 쪽파', '달걀', '다시마 물(또는 물)', '우유', '소금']",아이 영양반찬으로 아이와 함께 맛있게 먹은 토마토 달걀 스크램블을 가지고 왔어요 'ㅂ' 토마토를 달걀 스크램블에 넣으면 감칠맛이 좋아 토마토 케첩을 따로 곁들이지 않아도 된답니다:),"['방울토마토를 열십자로 칼집을 내 끓는 물에 토마토를 넣고 10초간 데친 후 찬물에 담가 껍질을 제거해 2등분 해주세요.', '쪽파도 송송 썰어주시고,', '볼에 달걀물 재료를 넣고 완전히 푼 후 송송 썬 쪽파를 넣어주세요.', '달군 팬에 기름을 두른 후 달걀물을 붓고 젓가락으로 중약 불에서 2~3분간 저어가며 익혀줍니다.', '토마토를 넣고 중약 불에서 1분간 더 익혀주세요.', ""토마토를 달걀 스크램블에 넣으면 감칠맛이 좋아 토마토 케첩을 따로 곁들이지 않아도 된답니다:)\n아이 영양반찬으로 아이와 함께 맛있게 먹은 토마토 달걀 스크램블!\n꼭 한번 만들어 드셔보시길 추천드려요 'ㅂ'""]","['토마토달걀볶음', '토마토요리', '아기토마토달걀볶음', '토마토달걀', '토마토요리법', '방울토마토']"
21,5822,밑반찬,일상,달걀/유제품,볶음,초간단~ 부추계란볶음 - 딸에게# / 부추계란볶음 만드는법,https://www.10000recipe.com/recipe/6830664,"10,039",노란장미                                ,,,,"['부추반줌                                                                                    50G', '계란', '소금', '후추', '초간장(장아찌간장)']",,[],
22,5823,밑반찬,일상,달걀/유제품,볶음,중국식 토마토 계란볶음~ 이연복 레시피로,https://www.10000recipe.com/recipe/6905626,"38,569",가루씨                                ,2,15분 이내,아무나,"['달걀', '토마토', '흰 대파', '굴소스', '설탕', '소금', '후추', '현미유']",부드러운 달걀 & 살캉한 토마토. 둘의 조합이 너무 맛있어 계속 떠먹게 되네요~♬ 거기다 굴소스의 감칠맛이 더해져서. 아침 메뉴로도 반찬으로도 손색없답니다.. ♥,"['토마토는나중에 껍질을 벗기기 쉽도록, 십자 무늬 칼집을 내주세요.', '끓는 물에 토마토를 넣고 센불에서 1분 데쳐주면 된답니다.', '껍질을 벗겨준 다음, 먹기 좋은 크기로 썰어주세요. 흰 대파는 가늘게 쫑쫑쫑~', '예열된 프라이팬에 현미유 1T를 두르고, 토마토를 넣어 센불에서 1분 30초 볶아주면 된답니다.', '이건 해도 되고 안 해도 되는데. 보고 토마토 물기가 많다 싶으면, 체에 밭쳐 물기를 한 번 빼주는 걸 추천. (나중에 요리가 완성됐을 때, 질척거리지 않는답니다.)', '그릇에 달걀, 굴소스, 설탕, 소금, 후추를 넣고 잘 섞어주세요.', '여기에 썰은 흰 대파를 넣고 한 번 더 잘 섞어주면 된답니다.', '이제 예열된 프라이팬에 현미유 2T를 두른 다음, 달걀물을 붓어주세요.', '그리고 센불에서 20초 정도 놔둔 후. 가장자리 부글부글 끓어오르고 어느 정도 밑에 익었다 싶었을 때, 젓가락으로 10초 동안 저어주면 된답니다.', '이제 약중불로 줄여 토마토를 넣고, 1분 ~ 1분 15초 정도 볶아주면 끝. (대략 달걀이 거의 다 익을 때까지) 계속 저어주셔야~ 달걀이 부드럽게 잘 익어요.']","['토마토계란볶음', '이연복레시피', '달걀볶음']"
23,5824,밑반찬,일상,달걀/유제품,볶음,토마토 스크램블 에그 ,https://www.10000recipe.com/recipe/6968974,954,해우니의요리이야기                                ,1,30분 이내,아무나,"['방울토마토', '올리브유', '통마늘', '계란', '버터', '소금', '파슬리 가루']",텃밭에 방울 토마토가 많이 열려 브런치 메뉴로 스크램블 에그를 만들어 보았습니다.,"['방울 토마토 300g, 마늘 3개 슬라이스 한 것에 올리브유 2T를 뿌려 섞어준다.', '계란 2개를 풀어 체에 걸러준다. 달구어진 프라이팬에 버터 50g을 녹인 후 계란을 볶아준다.계란 물을 체에 거르면 식감이 조금 더 부드럽습니다.', '방울토마토와 마늘 썬 것을 180도 온도에 맞춘 에어프라이어에 예열 없이 10분에서 15분 구워준다.이것을 계란 볶은 것에 넣고 섞어 준다. 이때에 소금을 2g 뿌려준다.에어프라이어방울토마토 껍질째 에어프라이어에 넣고 구워주면 껍질 안에 토마토의 즙이 모여 있어 스크램블과 함께 먹을 때마다 토마토 즙이 나와 상큼해진다.', '파슬리 가루를 적당히 뿌려 상위에 낸다.']","['에그스크램블', '방울토마토에그스크램블', '텃밭요리', '브런치', '토마토요리']"
24,5825,밑반찬,일상,달걀/유제품,볶음,간단한 아침식사 토달볶음만들기,https://www.10000recipe.com/recipe/6872020,"15,340",DHYA                                ,,,,"['토마토', '달걀', '버터', '소금', '후추']",,[],"['달걀', '토마토', '토달볶음', '혈당저하', '암예방', '비타민', '초간단', '간단한요리', '간단한아침']"
25,5826,밑반찬,일상,달걀/유제품,볶음,TV요리) 토마토달걀볶음 현지느낌 우리집에서도!,https://www.10000recipe.com/recipe/6902533,"43,859",만개의레시피                                ,4,20분 이내,초급,"['토마토', '달걀', '대파(흰부분)', '소금', '설탕', '굴소스', '식용유']","토마토와 달걀을 달달달달 볶으면
현지느낌 물씬! 나는 요리 완성! 

세상의 모든 레시피 만개의레시피","['대파는 굵게 다진다.', '토마토는 십자로 칼집을 내어 끓는물에 데친다.', '찬물에 담궈 껍질을 제거한다.', '먹기 좋은 크기로 편썬다.', '팬에 기름을 두르고 토마토를 한번 볶아 낸 후 체에 거른다.', '물에 달걀, 소금, 설탕,다진 파, 굴소스를 넣고 섞어 달걀물을 만든다.', '팬에 식용유를 두르고 달걀물과 걸러둔 토마토를 넣어 볶는다.', '달걀이 익으면 접시에 담아 완성한다.']","['토마토달걀볶음', '현지에서먹힐까', 'TV요리', '중국식', '중화요리']"
