,index,닉네임,작성날짜,작성시간,별점,내용
86,3,hahahoho665,2022-08-28,11:53:41,5,"맛있어요~ 주먹밥, 볶음밥, 김밥등 다 잘 어울려요~"
87,3,쿠키&크림,2022-05-26,14:24:35,5,아이도 잘먹어요 레시피 감사합니다
88,3,쿨내나는빈빈이,2022-04-10,16:14:18,5,맛있게 잘 만들어 먹었습니다.^^
89,3,다담_모모맘,2022-03-25,18:28:22,5,처음 만들어봤는데 맛있어요!!
90,3,박유진,2022-08-05,10:21:48,5,맛있네요 ㅎ감사해요
91,3,양초딩,2021-01-09,12:09:38,5,맛있게 잘 먹을께요^^
92,3,루미언니,2022-01-03,03:45:08,5,너무 맛나요^^
93,3,Kyehwa Haber,2021-11-22,20:47:28,5,맛있었어요!
94,3,오기♥️,2021-01-09,13:11:12,5,맛있어요.
95,5,박춘희(김영빈 영우)♡,2020-04-09,20:29:18,5,코로나로 집에만 있는 아이들 반찬 걱정하다가 레시피찾아 만들어봤는데 아이들 비벼서 한그릇 뚝딱이네요. 감사요.^^
96,5,songeh1978,2018-07-17,12:03:28,5,"간단하니 진짜 좋네요~^^
개인적으로 대파와 잣을 좀 더 넣어보았어요~ 남편이 엄청 좋아할듯요~좋은 네시피 감사해요~"
97,5,-J,2021-06-07,20:50:16,5,"우와~레시피대로 했는데 맛있네요!
양파가 많이 들어가는것 아닌가 했는데
많이 들어가는 이유가 있네요
맛난 레시피 감사합니다!"
98,5,떠우띠,2020-02-07,09:52:00,5,"이게 진짜 밥도듁 아닙니까...ㅠㅠ
그냥 맨밥에 이것만 비벼먹어도 밥한공기 뚝딱이예요"
99,5,나의여신님,2020-07-27,18:33:40,5,"비빔밥에 소고기고추장볶음 넣어서 먹음 핵꿀맛♥♥
항상 애용하는 레시피입니당^^너무너무 간단하고 맛있어서 아이들이랑 남편이 정말정말 좋아하고 밥을 아주 잘 먹는답니당ㅎㅎ최고에요!!^^"
100,5,해볼라꼬,2020-02-26,05:04:16,5,밥도둑..밥도둑..다른 반찬 필요없이 밥에 쓱쓱 비벼 먹음 순삭입니다.여기에 양상추에 싸 먹어도 맛있고요.레시피 감사드려용
101,5,42세,2018-07-01,21:17:35,5,"우리신랑 소고기고추장볶음 만들어달래서 여기서 보고 만들어줬더니 일주일내내 먹고 며칠있다가 또 만들어 달라고...ㅎㅎ
밥비벼 먹으니 매콤한게 맛있었습니다^^"
102,5,곰슈니0105,2021-07-13,19:18:05,5,간단하고 너무 맛있어요! 비빔밥 양념장으로 했는데 그냥 밥만 비벼서 먹어도 너무 맛있을 것 같아요^^
103,5,주한아빠,2021-08-31,14:10:22,5,잘 먹겠습니다. 근데 볶다보니 양파에서 물이 너무 많이 나와 당황 했어요. 센불에서 좀 조려줬습니다
104,5,코코아빵,2021-01-17,01:36:09,5,진심 너무 맛있어요!!! 돼지고기로 했는데 진짜 밥 한공기 순삭이었어요~ 레시피 감사해요
105,5,새댁,2021-06-02,12:42:50,5,너무 맛있게 잘 먹고 있어요. 아이가 젤 좋아하는 최애 반찬이요. 너무 간단하거 맛있어요!!
106,5,누눈누난나,2018-12-28,21:59:53,5,간장양념에 고기 재놓는걸 모르고 모든 양념을 다 섞어버렸어요 ㅋㅋㅋㅋ 고기볶고 나중에 양념넣어 볶았는데도 너무 맛있어요!! 첨해봤는데 처ㅣ고 ㅎㅎㅎ
107,5,쮸후니,2021-11-23,15:34:02,5,"저는 양을 두배로 해서 나눠먹었어요 ㅎ 맛있네요
충분히 단것같아서 물엿은 생략했구
양파가 많아서인지 물이 많이생겨서 좀 졸이듯 했어요"
108,5,기먄쥬V,2018-09-30,06:36:20,5,"저는 좀 슴슴하게 먹으려구 고기를 분량보다 더 넣고 견과류도 다져 넣었어요_!!!
알려주신 레시피로 하니 얼~마나 맛있게요_!!"
109,5,SuGy,2020-04-01,09:11:18,5,저는 집에 남은 돼지고기가 있어서 다져서 120g 정도 했는데 너무 맛있어요~ 비빔밥해서 싹 먹었네오!! 좋은 레시피감사해요:)
110,5,Ssimon,2020-05-26,01:33:52,5,맛있어요! 남편이 매운걸 잘 못먹어 고추장 2스푼 덜 넣었더니 딱 좋았어요. 비빔밥에 넣어 먹어도 좋겠어요. 쉽게 따라할 수 있는 레시피 감사합니다!
111,5,인숙,2022-08-06,15:00:11,5,레시피공유감사합니다기대이상으로맛나요전소고기다짐육이랑돼지다짐육이랑반반했어요넘맛나요감사드려요
112,5,오요사,2019-09-09,19:53:06,5,몸이 귀찮을때 해놓으니 밥에 쓱싹비벼먹으면 되고 정말 간편합니다~^^ 정말 맛있어여~~
113,5,써니윰맘,2021-05-11,14:44:01,5,레시피 감사합니다 .울 사위가 밥 비벼서 한그릇 뚝딱 하니..넘 기분이 좋아요.
114,5,박진아30499,2021-02-03,19:03:31,5,"먹어봐야 겠지만 맛있을거 같아요
고추장을 막 푸다보니 많이 들어간거 같아요"
115,5,왼손잡이 80,2022-08-01,14:23:19,5,"캔 고추장고기볶음이랑 맛 똑같아요.
밥에 고기볶음 올리고 계란후라이 하나, 김가루넣고 참기름 한스푼 올리고 쓱쓱 비벼먹으니 애나 어른이나 다 좋아하는 맛입니다."
116,5,주방토끼,2020-05-27,21:07:05,5,해외여행갈 때 사가는 것인 줄만 알고 직접 해본 건 처음인데 우울함을 날려주는 맛이예요. 집에 있는 채소 같이 넣었더니 맵다면서도 잘들 먹네요. 감사합니다.
117,5,김광진k,2020-08-17,13:46:22,5,맛있어요 최고 단지 내입에는 조금 달아서 담에는 설탕을 조금 적게 넣어서 해야 겠어요
118,5,Ha~,2020-08-23,20:25:39,5,"전 깜박..고추장을(반 정도 분량)
고기 잴 때
같이 넣어버렸네요..
그래도 맛있습니다~^^♡♡♡♡♡"
119,5,둘리릴리,2017-08-21,17:02:49,5,신랑이 밥도둑 따로 없다며 정말 잘 먹어요 초보새댁도 뚜딱 만들수있었어요.감사합니다
120,5,레시피들짱,2018-07-12,16:21:08,5,저는 귀찮아서 양파를 한개만 다져넣었는데. 그래도 맛있었어요. 갠적으로는 고기를 반만 넣어도 맛날듯 해요
121,5,skaksdml,2021-01-08,11:03:06,5,소고기고추장볶음이 먹고 싶었는데 이렇게 쉽게 할 수 있다니 ㅎㅎ 완전 짱이에요!!!
122,5,리하니,2020-04-18,15:43:45,5,오 맛있었어요 소고기다짐육 남은게 있어서 뭐만들까 검색하다가 만들었는데 맛나요!
123,5,동써땅뽀,2020-05-22,00:46:12,5,"첨시도해보는반찬이였는데,레시피덕분에어렵지않게시도할수있었어요^^집에있는걸쓰다보니원래레시피처럼다넣진못했지만아주유용했어요^^"
124,5,류가 <Zoe>,2017-08-24,09:24:41,5,정말맛있었어요~ 저는지금 호주에살고있는데 소고기민스로했는데 같이쉐어하는친구들이 밥을 두공기씩 쌈싸먹더라구요~ 뿌듯! ㅎ 감사해요~
125,5,정은하,2022-08-10,17:10:22,5,아주 맛있어요. 소고기 300g 양에 맞춰서 양념 했더니 900ml 유리병에 딱 맞게 나오네요. 맛있는 레시피 공유 감사합니다. 참 저는 마지막 꿀은 안넣었어요. 제 입맛에는 안넣어도 충분히 달아요.
126,5,욜로가베,2020-12-29,22:07:27,5,"반찬걱정했는데 내일 아침이랑 점심 걱정 덜었어요
고추장이 매워서 맛은 있는데 맵네요 ㅎㅎ"
127,5,Sumilee,2018-11-03,18:29:49,5,"저 리뷰 잘 안올리는 사람인데 
레시피 따라하기 너무쉽고 너무 맛있어서 올려요~~~ 오늘 남편한테 칭찬받겠네요!!!"
128,5,예쁜리본♡,2019-08-31,00:16:32,5,제 입맛에 맞게 설탕은 적게 넣고 버섯이랑 청양고추도 다져서 넣었더니 씹는 맛도 있고 칼칼하니 맛있네요..끝에 물엿 대신 꿀 넣었어요~^^
129,5,베베엄마,2022-07-10,19:07:31,5,약간 쌈장같은 비주얼인데 진짜 맛나네요ㅋㅋㅋ 밥한공기 뚝딱이에요감사합니다
130,5,리을남매맘♡,2020-09-17,13:59:24,5,"너무너무 맛난 반찬 감사해용!
양배추 쪄서ㅎ같이 싸먹으려구요
고추장 넣기전에 조금 빼서
아가들 먹이려는데 이것두 맛나네요~"
131,5,Eungyeong Oh,2020-05-22,10:11:00,5,진심 맛있어요. 표고버섯 한뿌리 남아서 그것도 잘게 다져 넣었습니다. 20분내외로 휘릭해서 새싹비빔밥 먹으니 세상 행복하네용ㅋㅋㅋㅋ
132,5,뇸노ㅗㄴ,2020-08-03,04:14:13,5,"너무맛있어용!! 남친밥2공기 뚝딱하고 저도배부른데도꾸역꾸역먹었어용 ㅎ
세상에.. 더해서 만들어놓을려구용~"
133,5,카페올래,2019-02-18,23:11:26,5,전 호두를 잘게 다져 넣어봤어요 입맛 없을 때 밥에 슥싹 비벼 먹으니 아주 꿀맛입니다^^
134,5,고상하게생겨서,2020-09-12,11:50:27,5,"쉽고 맛나네요! 
남편이 군대 맛다시?랑 비슷하다고 해요
양배추 쪄서 맛있게 잘 싸먹었어용"
135,5,제주댁_soojin,2020-04-01,18:25:55,5,너무 쉽고 간단한 레시피 덕분에 뚝딱 했습니다~! 남편한테 칭찬받았어요ㅋ 감사합니다^^
136,5,행복나무ㅡ11,2018-03-16,13:25:26,5,양파를 다져 넣으니 촉촉하니 맛있네요 덕분에 맛있고 색다른 고추장볶기만들어먹었습니다 ^^
137,5,lovelyleevly,2019-03-09,18:06:47,5,저는 소고기 돼지고기 간것 두개다 사용했는데 정말 맛있게 잘먹었어요!!^^
138,5,로옹롱,2019-10-12,20:08:51,5,너무 간단하고 맛있고 최고예요! 신랑도 맛있다고 맨날 해달라네용 ㅎㅎ
139,5,지안이이이,2017-08-23,17:38:36,5,짱맛있어요!! 400그람 요리했는데.. 한동안 두고두고 먹을듯해요 ㅋㅋㅋ
140,5,핫밍,2018-07-31,18:59:04,5,청양고추 다져서 넣으니 물엿까지 넣어도 달지않고 맛있습니다~!!!
141,5,쏘로롱 ♥,2017-05-19,20:04:22,5,쉽고 맛있어요 ! 식구들 맛나게 먹어주네욘 ^^ 레시피 감사합니다 !
142,5,민주,2022-06-25,22:09:45,5,설탕은 추가로 안넣어도 딱 괜찮았어요!!! 레시피 감사합니다 ^^
143,5,rockcjw,2018-08-01,20:09:05,5,맛있어요. 간편한 레시피 덕에 반찬 쉽게 했네요. 고맙습니다~
144,5,candid74,2020-09-09,21:11:48,5,맛있어요. 마지막에 참깨 듬뿍 넣으니 더 고소하고 맛나요.^^
145,5,스펙터클,2020-09-30,12:47:33,5,너무 맛있게 잘 되었습니다! 비빔밥에 잘 비벼서 먹을게용!!!
146,5,복땅,2021-08-31,00:10:42,5,똥손이 만들어도 너무 맛있네요 밥도둑입니다 감사드려요
147,5,Sukyun Park,2017-11-08,23:36:09,5,완전 대박 울트라 초초초!! 맛있어요 ㅎㅎ 감사합니다^^*
148,5,narang,2019-02-10,18:29:28,5,"저는 표고랑 잣을 더 넣었어요~
좋은 레시피 감사합니다"
149,5,chike****,2019-06-23,23:02:35,5,맛있어요 양파가 들어가서 인지 많이 짜지도 않고 굿~^^
150,5,블루엄빠,2018-04-19,20:40:00,5,쉽게설명해주신덕분에맛나게준비했습니다 감사합니다
151,5,율's파파,2020-03-12,12:50:55,5,완전 강 ! 추! 고기를 안갈고 작게만 잘라도 맛있음!
152,5,수댕짱 :D,2021-10-26,23:25:58,5,"와 진짜진짜 맛있어요!! 
좋은 레시피 감사합니다~"
153,5,김똥땡,2020-07-05,09:32:21,5,레시피대로 했더니 맛있다고 하네요.감사합니다.
154,5,데이지2,2022-02-23,21:56:31,5,"맛있게 잘된거 같아서 좋아요.
맛도~~ 젤 맛나요."
155,5,혀나콩,2021-01-20,09:46:01,5,"미쳤어요 너무 맛있음..
신랑도 완전 잘먹네요"
156,5,kimhanoori,2021-06-30,03:01:14,5,간단한데 기대이상의 맛이었어요 감사합니당!
157,5,프리지아,2022-08-21,18:51:54,5,"맛나게 해서 밥한그릇 뚝딱했어요
감사합니당"
158,5,송시아86,2018-07-03,09:28:20,5,"정말정말 맛있다고 칭찬받앗어요
강추입니다"
159,5,레몬호박,2017-06-07,17:18:48,5,정말 맛있네요 남편이 밥 두 그릇 먹었어요^^
160,5,,2018-01-10,00:17:50,5,"맛있네요
구이용고기가조금남아서해봤어요"
161,5,예은맘S2,2019-12-04,20:04:14,5,간단하게 휘리릭ㅋㅋ 맛나게 잘 먹었어요~^^
162,5,깨굴락지네,2021-02-04,17:00:38,5,너무 맛있어요. 계속 맨입에 퍼먹었네요.^^
163,5,가비뿌니,2022-08-03,00:51:21,5,맛나게 만들어서 여름휴가때 챙겨갑니다^^
164,5,grace1985,2019-07-18,06:26:00,5,물엿대신 꿀넣고 볶았어요~ 맛있어요
165,5,[트와이스]은율,2020-01-28,09:34:40,5,저 13살인데도 정말쉽게 해먹었어요^^
166,5,김달쩡,2019-08-10,15:57:42,5,최고에용 맛있어용 또 해먹을래용!!!
167,5,사과나무00,2022-06-07,18:59:33,5,"맛있어요~~
돼지고기로 해도 좋네요!"
168,5,에디코코사장님,2022-05-04,06:56:29,5,"존맛댕쿠리
돼지로해도맛있었어요"
169,5,서현혜,2019-08-14,20:55:57,5,맛있어요~좋은레시피 감사합니다.^^
170,5,승훈,2021-12-30,15:08:28,5,학생인데 너무 간편하고 맜있어용
171,5,한선생,2017-06-07,15:39:18,5,쉽게 했는데 맛있게 먹었습니다
172,5,Hayoki,2021-05-05,19:58:00,5,너무맛있어용!!!밥도둑맞네요~~
173,5,.의주니,2022-04-03,13:14:45,5,"맛있어요. 
정말 밥도둑이네요~"
174,5,서콩이(438),2020-04-13,19:08:19,5,와우 맛나겠어요 꼭 해볼께요
175,5,ㅇㅅㅅㅎ,2022-07-31,21:55:46,5,진짜 맛있어요 감사합니다!!!
176,5,하임하우스,2022-02-07,17:24:28,5,넘 맛있었어요 감사합니다 ^^
177,5,정민정은댁,2022-04-14,21:45:51,5,저희딸이 너무 잘 먹네용^^
178,5,차태훈,2017-06-08,17:56:32,5,맛있어요 ㅎㅎㅎ간단하구
179,5,Sun201,2017-10-11,09:42:18,5,너무 맛있게 잘먹었어요^^
180,5,이츠유,2018-07-03,20:24:15,5,맛있게 잘 해먹었어요ㅎ
181,5,shiori,2017-06-09,15:36:13,5,만들어봤어요~ 감사해요
182,5,다니꺼,2021-12-26,19:27:19,5,맛있게 잘된것같아요..
183,5,아l니애니,2020-10-03,08:59:24,5,맛있네요! 감사합니다
184,5,Joohyun An,2017-07-11,23:16:07,5,잘만들어 먹었습니다!
185,5,방창완,2021-02-11,19:22:25,5,넘넘 만나요 ㅎ ㅎ ㅎ
186,5,오차드힐,2020-08-22,02:17:19,5,넘넘넘 맛있습니다♡
